"layer","layer_name","x","y","visual_label","visual_text","visual_behavior","behavior","parameter_summary","text_parameters","select_parameters","checked_modifiers"
"3","3","9","2","→","Key Press","Key Press","Key Press","Keyboard RightArrow","default_transform: | Key::Keyboard RightArrow","default_transform:default_transform","L Ctrl+L GUI"
"3","3","10","2","Mouse Lock","To Layer","To Layer","To Layer","default_transform","default_transform:","default_transform:default_transform | Layer::2",""
"3","3","11","2","Ptr Travel","Toggle Layer","Toggle Layer","Toggle Layer","default_transform","default_transform:","default_transform:default_transform | Layer::8",""
"3","3","12","2","Game","To Layer","To Layer","To Layer","default_transform","default_transform:","default_transform:default_transform | Layer::7",""
"3","3","0","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"3","3","1","3","←","Key Press","Key Press","Key Press","Keyboard LeftArrow","default_transform: | Key::Keyboard LeftArrow","default_transform:default_transform","L GUI"
"3","3","2","3","↑","Key Press","Key Press","Key Press","Keyboard UpArrow","default_transform: | Key::Keyboard UpArrow","default_transform:default_transform","L GUI"
"3","3","3","3","↓","Key Press","Key Press","Key Press","Keyboard DownArrow","default_transform: | Key::Keyboard DownArrow","default_transform:default_transform","L GUI"
"3","3","4","3","→","Key Press","Key Press","Key Press","Keyboard RightArrow","default_transform: | Key::Keyboard RightArrow","default_transform:default_transform","L GUI"
"3","3","5","3","→","Key Press","Key Press","Key Press","L GUI+L Shift+Keyboard RightArrow","default_transform: | Key::Keyboard RightArrow","default_transform:default_transform","L GUI+L Shift"
"3","3","7","3","Tab","Key Press","Key Press","Key Press","Keyboard Tab","default_transform: | Key::Keyboard Tab","default_transform:default_transform","L Alt"
"3","3","8","3","D","Key Press","Key Press","Key Press","Keyboard D","default_transform: | Key::Keyboard D","default_transform:default_transform","L Ctrl+L GUI"
"3","3","9","3","F4","Key Press","Key Press","Key Press","Keyboard F4","default_transform: | Key::Keyboard F4","default_transform:default_transform","L Ctrl+L GUI"
"3","3","10","3","Tab","Key Press","Key Press","Key Press","Keyboard Tab","default_transform: | Key::Keyboard Tab","default_transform:default_transform","L GUI"
"3","3","11","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"3","3","12","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"3","3","3","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"3","3","4","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"3","3","5","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"3","3","7","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"3","3","8","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"3","3","4","5","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"3","3","5","5","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"3","3","7","5","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","0","0","Bluetooth","Bluetooth","Bluetooth","Bluetooth","default_transform 0","default_transform: | Profile::0","default_transform:default_transform | select:Select Profile",""
"4","4","1","0","Bluetooth","Bluetooth","Bluetooth","Bluetooth","default_transform 1","default_transform: | Profile::1","default_transform:default_transform | select:Select Profile",""
"4","4","2","0","Bluetooth","Bluetooth","Bluetooth","Bluetooth","default_transform 2","default_transform: | Profile::2","default_transform:default_transform | select:Select Profile",""
"4","4","3","0","Bluetooth","Bluetooth","Bluetooth","Bluetooth","default_transform 3","default_transform: | Profile::3","default_transform:default_transform | select:Select Profile",""
"4","4","4","0","Bluetooth","Bluetooth","Bluetooth","Bluetooth","default_transform 4","default_transform: | Profile::4","default_transform:default_transform | select:Select Profile",""
"4","4","5","0","Bluetooth","Bluetooth","Bluetooth","Bluetooth","default_transform","default_transform:","default_transform:default_transform | select:Clear Selected Profile",""
"4","4","7","0","Output Selection","Output Selection","Output Selection","Output Selection","default_transform","default_transform:","default_transform:default_transform | select:BLE Output",""
"4","4","8","0","Output Selection","Output Selection","Output Selection","Output Selection","default_transform","default_transform:","default_transform:default_transform | select:USB Output",""
"4","4","9","0","Output Selection","Output Selection","Output Selection","Output Selection","default_transform","default_transform:","default_transform:default_transform | select:Toggle Outputs",""
"4","4","10","0","Studio Unlock","Studio Unlock","Studio Unlock","Studio Unlock","default_transform","default_transform:","default_transform:default_transform",""
"4","4","11","0","Reset","Reset","Reset","Reset","default_transform","default_transform:","default_transform:default_transform",""
"4","4","12","0","Bootloader","Bootloader","Bootloader","Bootloader","default_transform","default_transform:","default_transform:default_transform",""
"4","4","0","1","F13","Key Press","Key Press","Key Press","Keyboard F13","default_transform: | Key::Keyboard F13","default_transform:default_transform",""
"4","4","1","1","F13","Key Press","Key Press","Key Press","Keyboard F13","default_transform: | Key::Keyboard F13","default_transform:default_transform",""
"4","4","2","1","F14","Key Press","Key Press","Key Press","Keyboard F14","default_transform: | Key::Keyboard F14","default_transform:default_transform",""
"4","4","3","1","F15","Key Press","Key Press","Key Press","Keyboard F15","default_transform: | Key::Keyboard F15","default_transform:default_transform",""
"4","4","4","1","F16","Key Press","Key Press","Key Press","Keyboard F16","default_transform: | Key::Keyboard F16","default_transform:default_transform",""
"4","4","5","1","F18","Key Press","Key Press","Key Press","Keyboard F18","default_transform: | Key::Keyboard F18","default_transform:default_transform",""
"4","4","7","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","8","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","9","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","10","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","11","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","12","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","0","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","1","2","F19","Key Press","Key Press","Key Press","Keyboard F19","default_transform: | Key::Keyboard F19","default_transform:default_transform",""
"4","4","2","2","F20","Key Press","Key Press","Key Press","Keyboard F20","default_transform: | Key::Keyboard F20","default_transform:default_transform",""
"4","4","3","2","F21","Key Press","Key Press","Key Press","Keyboard F21","default_transform: | Key::Keyboard F21","default_transform:default_transform",""
"4","4","4","2","F22","Key Press","Key Press","Key Press","Keyboard F22","default_transform: | Key::Keyboard F22","default_transform:default_transform",""
"4","4","5","2","F22","Key Press","Key Press","Key Press","Keyboard F22","default_transform: | Key::Keyboard F22","default_transform:default_transform",""
"4","4","7","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","8","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","9","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","10","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","11","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","12","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","0","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","1","3","F23","Key Press","Key Press","Key Press","Keyboard F23","default_transform: | Key::Keyboard F23","default_transform:default_transform",""
"4","4","2","3","F24","Key Press","Key Press","Key Press","Keyboard F24","default_transform: | Key::Keyboard F24","default_transform:default_transform",""
"4","4","3","3","F17","Key Press","Key Press","Key Press","Keyboard F17","default_transform: | Key::Keyboard F17","default_transform:default_transform",""
"4","4","4","3","F18","Key Press","Key Press","Key Press","Keyboard F18","default_transform: | Key::Keyboard F18","default_transform:default_transform",""
"4","4","5","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","7","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","8","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","9","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","10","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","11","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","12","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","3","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","4","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","5","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","7","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","8","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","4","5","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","5","5","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"4","4","7","5","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","0","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","1","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","2","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","3","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","4","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","5","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","7","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","8","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","9","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","10","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","11","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","12","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","0","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","1","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","2","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","3","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","4","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","5","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","7","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","8","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","9","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","10","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","11","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","12","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","0","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","1","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","2","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","3","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","4","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","5","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","7","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","8","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","9","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","10","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","11","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","12","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","0","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","1","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","2","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","3","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","4","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","5","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","7","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","8","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","9","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","10","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","11","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","12","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","3","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","4","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","5","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","7","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","8","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","4","5","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","5","5","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"5","5","7","5","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","0","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","1","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","2","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","3","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","4","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","5","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","7","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","8","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","9","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","10","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","11","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","12","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","0","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","1","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","2","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","3","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","4","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","5","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","7","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","8","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","9","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","10","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","11","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","12","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","0","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","1","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","2","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","3","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","4","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","5","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","7","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","8","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","9","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","10","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","11","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","12","2","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","0","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","1","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","2","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","3","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","4","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","5","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","7","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","8","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","9","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","10","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","11","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","12","3","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","3","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","4","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","5","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","7","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","8","4","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","4","5","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","5","5","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"6","6","7","5","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"7","7","0","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"7","7","1","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"7","7","2","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"7","7","3","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"7","7","4","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"7","7","5","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"7","7","7","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"7","7","8","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"7","7","9","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"7","7","10","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"7","7","11","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"7","7","12","0","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"7","7","0","1","Transparent","Transparent","Transparent","Transparent","default_transform","default_transform:","default_transform:default_transform",""
"7","7","1","1","9 PU","Key Press","Key Press","Key Press","Keypad 9 and PageUp","default_transform: | Key::Keypad 9 and PageUp","default_transform:default_transform",""
"7","7","2","1","↑","Key Press","Key Press","Key Press","Keyboard UpArrow","default_transform: | Key::Keyboard UpArrow","default_transform:default_transform",""
